INFO - ControllerClasses.buildDB(55) | Found router method 'com.khubla.pragmatach.plugin.adminapp.ShowEnvironmentController:render' with route specification '/pragmatach/admin/environment'
INFO - ControllerClasses.buildDB(55) | Found router method 'com.khubla.pragmatach.plugin.adminapp.BaseAdminController:logout' with route specification 'pragmatach/admin/logout'
INFO - ControllerClasses.buildDB(55) | Found router method 'com.khubla.pragmatach.plugin.adminapp.AdminController:render' with route specification '/pragmatach/admin'
INFO - ControllerClasses.buildDB(55) | Found router method 'com.khubla.pragmatach.plugin.adminapp.BaseAdminController:logout' with route specification 'pragmatach/admin/logout'
INFO - ControllerClasses.buildDB(55) | Found router method 'com.khubla.pragmatach.examples.uploadexample.UploadController:render' with route specification 'upload/'
INFO - ControllerClasses.buildDB(55) | Found router method 'com.khubla.pragmatach.plugin.adminapp.ShowControllersController:render' with route specification '/pragmatach/admin/controllers'
INFO - ControllerClasses.buildDB(55) | Found router method 'com.khubla.pragmatach.plugin.adminapp.BaseAdminController:logout' with route specification 'pragmatach/admin/logout'
INFO - ControllerClasses.buildDB(55) | Found router method 'com.khubla.pragmatach.framework.controller.impl.StaticResourceController:render' with route specification '/public/*'
INFO - ControllerClasses.buildDB(55) | Found router method 'com.khubla.pragmatach.plugin.adminapp.BaseAdminController:logout' with route specification 'pragmatach/admin/logout'
INFO - PluginDescriptors.scanURLs(52) | Found plugin: AdminApp
INFO - PluginDescriptors.scanURLs(52) | Found plugin: Framework
INFO - PluginDescriptors.scanURLs(52) | Found plugin: Freemarker
INFO - StartupListener.reportRoutes(116) | Ordered GET routes
INFO - StartupListener.reportRoutes(118) | GET /pragmatach/admin/configuration com.khubla.pragmatach.plugin.adminapp.ShowConfigurationController:render
INFO - StartupListener.reportRoutes(118) | GET /pragmatach/admin/jvm com.khubla.pragmatach.plugin.adminapp.ShowJVMController:render
INFO - StartupListener.reportRoutes(118) | GET /pragmatach/admin/i8n com.khubla.pragmatach.plugin.adminapp.ShowI8NController:render
INFO - StartupListener.reportRoutes(118) | GET /pragmatach/admin/login com.khubla.pragmatach.plugin.adminapp.AdminLoginController:render
INFO - StartupListener.reportRoutes(118) | GET /pragmatach/admin/plugins com.khubla.pragmatach.plugin.adminapp.ShowPluginsController:render
INFO - StartupListener.reportRoutes(118) | GET /pragmatach/admin/network com.khubla.pragmatach.plugin.adminapp.ShowNetworkController:render
INFO - StartupListener.reportRoutes(118) | GET /pragmatach/admin/controllers com.khubla.pragmatach.plugin.adminapp.ShowControllersController:render
INFO - StartupListener.reportRoutes(118) | GET /pragmatach/admin/environment com.khubla.pragmatach.plugin.adminapp.ShowEnvironmentController:render
